Event ID,Timestamp,Target Timestamp,Proton Intensity,e0.5_tminus24,e0.5_tminus23,e0.5_tminus22,e0.5_tminus21,e0.5_tminus20,e0.5_tminus19,e0.5_tminus18,e0.5_tminus17,e0.5_tminus16,e0.5_tminus15,e0.5_tminus14,e0.5_tminus13,e0.5_tminus12,e0.5_tminus11,e0.5_tminus10,e0.5_tminus9,e0.5_tminus8,e0.5_tminus7,e0.5_tminus6,e0.5_tminus5,e0.5_tminus4,e0.5_tminus3,e0.5_tminus2,e0.5_tminus1,e0.5_t,e0.5_max_intensity,e1.8_tminus24,e1.8_tminus23,e1.8_tminus22,e1.8_tminus21,e1.8_tminus20,e1.8_tminus19,e1.8_tminus18,e1.8_tminus17,e1.8_tminus16,e1.8_tminus15,e1.8_tminus14,e1.8_tminus13,e1.8_tminus12,e1.8_tminus11,e1.8_tminus10,e1.8_tminus9,e1.8_tminus8,e1.8_tminus7,e1.8_tminus6,e1.8_tminus5,e1.8_tminus4,e1.8_tminus3,e1.8_tminus2,e1.8_tminus1,e1.8_t,e1.8_max_intensity,e4.4_tminus24,e4.4_tminus23,e4.4_tminus22,e4.4_tminus21,e4.4_tminus20,e4.4_tminus19,e4.4_tminus18,e4.4_tminus17,e4.4_tminus16,e4.4_tminus15,e4.4_tminus14,e4.4_tminus13,e4.4_tminus12,e4.4_tminus11,e4.4_tminus10,e4.4_tminus9,e4.4_tminus8,e4.4_tminus7,e4.4_tminus6,e4.4_tminus5,e4.4_tminus4,e4.4_tminus3,e4.4_tminus2,e4.4_tminus1,e4.4_t,e4.4_max_intensity,p_tminus24,p_tminus23,p_tminus22,p_tminus21,p_tminus20,p_tminus19,p_tminus18,p_tminus17,p_tminus16,p_tminus15,p_tminus14,p_tminus13,p_tminus12,p_tminus11,p_tminus10,p_tminus9,p_tminus8,p_tminus7,p_tminus6,p_tminus5,p_tminus4,p_tminus3,p_tminus2,p_tminus1,p_t,p_max_intensity,Sunspot Number,cme_donki_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,Type2_Viz_Area,solar_wind_speed,diffusive_shock,half_richardson_value,CMEs Past Month,CMEs Past 9 Hours,CMEs Speed > 1000,Max CME Speed
17,2012-06-15 21:15:00,2012-06-15 21:45:00,0.031017,36.7104,38.5488,37.0366,35.5834,36.2358,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,38.5488,0.136078,0.13771,0.12956,0.1263,0.117334,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.13771,0.0037567,0.00550984,0.0077638,0.00576026,0.0037567,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.0077638,0.0230174,0.0241494,0.0248662,0.0246398,0.0241868,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0317336,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:20:00,2012-06-15 21:50:00,0.0314696,38.5488,37.0366,35.5834,36.2358,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,38.5488,0.13771,0.12956,0.1263,0.117334,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.13771,0.00550984,0.0077638,0.00576026,0.0037567,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00826476,0.0241494,0.0248662,0.0246398,0.0241868,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317336,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:25:00,2012-06-15 21:55:00,0.0325638,37.0366,35.5834,36.2358,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,37.0366,0.12956,0.1263,0.117334,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.132818,0.0077638,0.00576026,0.0037567,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00826476,0.0248662,0.0246398,0.0241868,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0317714,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:30:00,2012-06-15 22:00:00,0.0338092,35.5834,36.2358,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,36.2358,0.1263,0.117334,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.132818,0.00576026,0.0037567,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00826476,0.0246398,0.0241868,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0321112,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:35:00,2012-06-15 22:05:00,0.0331298,36.2358,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,36.2358,0.117334,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.132818,0.0037567,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00826476,0.0241868,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0323752,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:40:00,2012-06-15 22:10:00,0.0316204,34.0414,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,31.3728,35.2274,0.132006,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.0912614,0.132818,0.00576026,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00525938,0.00826476,0.0235458,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0306772,0.0323752,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:45:00,2012-06-15 22:15:00,0.0341864,33.0036,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,31.3728,31.3134,35.2274,0.123854,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.0912614,0.102669,0.132818,0.00475848,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00525938,0.00701248,0.00826476,0.0224138,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0306772,0.031017,0.0323752,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:50:00,2012-06-15 22:20:00,0.034111,35.2274,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,31.3728,31.3134,32.8554,35.2274,0.1124474,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.0912614,0.102669,0.1254858,0.132818,0.00601074,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00525938,0.00701248,0.00425758,0.00826476,0.023055,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0306772,0.031017,0.0314696,0.0323752,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 21:55:00,2012-06-15 22:25:00,0.0328282,33.211,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,31.3728,31.3134,32.8554,32.648,34.5156,0.122228,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.0912614,0.102669,0.1254858,0.1108184,0.132818,0.0052594,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00525938,0.00701248,0.00425758,0.00626116,0.00826476,0.0212438,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0306772,0.031017,0.0314696,0.0325638,0.0325638,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
17,2012-06-15 22:00:00,2012-06-15 22:30:00,0.0331674,33.6562,33.3594,33.9526,34.0116,33.7746,33.8044,32.855,33.5078,32.9738,32.2326,32.0548,34.4268,34.5156,31.2244,33.063,31.9064,31.9954,29.0896,31.3136,32.4698,31.3728,31.3134,32.8554,32.648,31.2838,34.5156,0.132818,0.123038,0.1140752,0.1116336,0.120594,0.1140788,0.1271152,0.113262,0.1116324,0.1116316,0.1148916,0.0977798,0.1026704,0.1018544,0.1124452,0.11408,0.1157056,0.1075594,0.11326,0.1100012,0.0912614,0.102669,0.1254858,0.1108184,0.1157072,0.132818,0.0052594,0.00576028,0.0042576,0.00550986,0.0065116,0.00550982,0.00475848,0.0070126,0.00550982,0.00751344,0.00525938,0.00550984,0.00601072,0.00475848,0.00651162,0.00550982,0.00826476,0.00626116,0.00751344,0.00500894,0.00525938,0.00701248,0.00425758,0.00626116,0.00726298,0.00826476,0.0221494,0.0209796,0.0244134,0.0263378,0.0262246,0.0283754,0.027432,0.0294696,0.0275452,0.0275454,0.028753,0.0295076,0.0309414,0.0317336,0.03113,0.030564,0.0306394,0.0317714,0.0321112,0.0323752,0.0306772,0.031017,0.0314696,0.0325638,0.0338092,0.0338092,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,735
